"Step","cosmic-sweep-11 - Average Weighted Test Accuracy","cosmic-sweep-11 - Average Weighted Test Accuracy__MIN","cosmic-sweep-11 - Average Weighted Test Accuracy__MAX","rosy-sweep-10 - Average Weighted Test Accuracy","rosy-sweep-10 - Average Weighted Test Accuracy__MIN","rosy-sweep-10 - Average Weighted Test Accuracy__MAX","crisp-sweep-9 - Average Weighted Test Accuracy","crisp-sweep-9 - Average Weighted Test Accuracy__MIN","crisp-sweep-9 - Average Weighted Test Accuracy__MAX","zany-sweep-8 - Average Weighted Test Accuracy","zany-sweep-8 - Average Weighted Test Accuracy__MIN","zany-sweep-8 - Average Weighted Test Accuracy__MAX","celestial-sweep-7 - Average Weighted Test Accuracy","celestial-sweep-7 - Average Weighted Test Accuracy__MIN","celestial-sweep-7 - Average Weighted Test Accuracy__MAX","giddy-sweep-6 - Average Weighted Test Accuracy","giddy-sweep-6 - Average Weighted Test Accuracy__MIN","giddy-sweep-6 - Average Weighted Test Accuracy__MAX","generous-sweep-5 - Average Weighted Test Accuracy","generous-sweep-5 - Average Weighted Test Accuracy__MIN","generous-sweep-5 - Average Weighted Test Accuracy__MAX","fearless-sweep-4 - Average Weighted Test Accuracy","fearless-sweep-4 - Average Weighted Test Accuracy__MIN","fearless-sweep-4 - Average Weighted Test Accuracy__MAX","treasured-sweep-3 - Average Weighted Test Accuracy","treasured-sweep-3 - Average Weighted Test Accuracy__MIN","treasured-sweep-3 - Average Weighted Test Accuracy__MAX","silver-sweep-2 - Average Weighted Test Accuracy","silver-sweep-2 - Average Weighted Test Accuracy__MIN","silver-sweep-2 - Average Weighted Test Accuracy__MAX","resilient-sweep-1 - Average Weighted Test Accuracy","resilient-sweep-1 - Average Weighted Test Accuracy__MIN","resilient-sweep-1 - Average Weighted Test Accuracy__MAX"
"0","0.4038333333333333","0.4038333333333333","0.4038333333333333","0.4043333333333333","0.4043333333333333","0.4043333333333333","0.4076666666666667","0.4076666666666667","0.4076666666666667","0.40016666666666667","0.40016666666666667","0.40016666666666667","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.4071666666666667","0.4071666666666667","0.4071666666666667","0.4048333333333333","0.4048333333333333","0.4048333333333333","0.4105","0.4105","0.4105","0.4073333333333333","0.4073333333333333","0.4073333333333333","0.4105","0.4105","0.4105","0.4146666666666667","0.4146666666666667","0.4146666666666667"
"1","0.5486666666666666","0.5486666666666666","0.5486666666666666","0.5453333333333333","0.5453333333333333","0.5453333333333333","0.555","0.555","0.555","0.5421666666666667","0.5421666666666667","0.5421666666666667","0.5531666666666667","0.5531666666666667","0.5531666666666667","0.5458333333333333","0.5458333333333333","0.5458333333333333","0.549","0.549","0.549","0.5485","0.5485","0.5485","0.5471666666666667","0.5471666666666667","0.5471666666666667","0.5523333333333333","0.5523333333333333","0.5523333333333333","0.5648333333333333","0.5648333333333333","0.5648333333333333"
"2","0.6238333333333334","0.6238333333333334","0.6238333333333334","0.6165","0.6165","0.6165","0.618","0.618","0.618","0.6205","0.6205","0.6205","0.6268333333333334","0.6268333333333334","0.6268333333333334","0.6198333333333333","0.6198333333333333","0.6198333333333333","0.6203333333333333","0.6203333333333333","0.6203333333333333","0.6198333333333333","0.6198333333333333","0.6198333333333333","0.6226666666666667","0.6226666666666667","0.6226666666666667","0.6231666666666666","0.6231666666666666","0.6231666666666666","0.6251666666666666","0.6251666666666666","0.6251666666666666"
"3","0.661","0.661","0.661","0.6558333333333334","0.6558333333333334","0.6558333333333334","0.6596666666666666","0.6596666666666666","0.6596666666666666","0.6575","0.6575","0.6575","0.6621666666666667","0.6621666666666667","0.6621666666666667","0.6566666666666666","0.6566666666666666","0.6566666666666666","0.6608333333333334","0.6608333333333334","0.6608333333333334","0.6595","0.6595","0.6595","0.6591666666666667","0.6591666666666667","0.6591666666666667","0.6603333333333333","0.6603333333333333","0.6603333333333333","0.6651666666666667","0.6651666666666667","0.6651666666666667"
"4","0.685","0.685","0.685","0.6788333333333333","0.6788333333333333","0.6788333333333333","0.6841666666666667","0.6841666666666667","0.6841666666666667","0.6813333333333333","0.6813333333333333","0.6813333333333333","0.6793333333333333","0.6793333333333333","0.6793333333333333","0.6843333333333333","0.6843333333333333","0.6843333333333333","0.6818333333333333","0.6818333333333333","0.6818333333333333","0.6816666666666666","0.6816666666666666","0.6816666666666666","0.6818333333333333","0.6818333333333333","0.6818333333333333","0.6858333333333333","0.6858333333333333","0.6858333333333333","0.6886666666666666","0.6886666666666666","0.6886666666666666"
"5","0.696","0.696","0.696","0.6956666666666667","0.6956666666666667","0.6956666666666667","0.6943333333333334","0.6943333333333334","0.6943333333333334","0.6938333333333333","0.6938333333333333","0.6938333333333333","0.6953333333333334","0.6953333333333334","0.6953333333333334","0.7","0.7","0.7","0.6956666666666667","0.6956666666666667","0.6956666666666667","0.695","0.695","0.695","0.6981666666666667","0.6981666666666667","0.6981666666666667","0.6993333333333334","0.6993333333333334","0.6993333333333334","0.7023333333333334","0.7023333333333334","0.7023333333333334"
"6","0.708","0.708","0.708","0.706","0.706","0.706","0.7053333333333334","0.7053333333333334","0.7053333333333334","0.7061666666666667","0.7061666666666667","0.7061666666666667","0.7071666666666667","0.7071666666666667","0.7071666666666667","0.7103333333333334","0.7103333333333334","0.7103333333333334","0.7068333333333333","0.7068333333333333","0.7068333333333333","0.7096666666666667","0.7096666666666667","0.7096666666666667","0.7095","0.7095","0.7095","0.7098333333333333","0.7098333333333333","0.7098333333333333","0.718","0.718","0.718"
"7","0.7186666666666667","0.7186666666666667","0.7186666666666667","0.7171666666666666","0.7171666666666666","0.7171666666666666","0.7148333333333333","0.7148333333333333","0.7148333333333333","0.717","0.717","0.717","0.7173333333333334","0.7173333333333334","0.7173333333333334","0.718","0.718","0.718","0.715","0.715","0.715","0.7185","0.7185","0.7185","0.7176666666666667","0.7176666666666667","0.7176666666666667","0.7198333333333333","0.7198333333333333","0.7198333333333333","0.7263333333333334","0.7263333333333334","0.7263333333333334"
"8","0.7281666666666666","0.7281666666666666","0.7281666666666666","0.727","0.727","0.727","0.7218333333333333","0.7218333333333333","0.7218333333333333","0.726","0.726","0.726","0.7256666666666667","0.7256666666666667","0.7256666666666667","0.7276666666666667","0.7276666666666667","0.7276666666666667","0.7236666666666667","0.7236666666666667","0.7236666666666667","0.725","0.725","0.725","0.7291666666666666","0.7291666666666666","0.7291666666666666","0.728","0.728","0.728","0.7353333333333333","0.7353333333333333","0.7353333333333333"
"9","0.7301666666666666","0.7301666666666666","0.7301666666666666","0.732","0.732","0.732","0.7295","0.7295","0.7295","0.7321666666666666","0.7321666666666666","0.7321666666666666","0.733","0.733","0.733","0.7353333333333333","0.7353333333333333","0.7353333333333333","0.7328333333333333","0.7328333333333333","0.7328333333333333","0.7316666666666667","0.7316666666666667","0.7316666666666667","0.7338333333333333","0.7338333333333333","0.7338333333333333","0.7351666666666666","0.7351666666666666","0.7351666666666666","0.7398333333333333","0.7398333333333333","0.7398333333333333"
"10","0.7345","0.7345","0.7345","0.739","0.739","0.739","0.7343333333333333","0.7343333333333333","0.7343333333333333","0.735","0.735","0.735","0.7363333333333333","0.7363333333333333","0.7363333333333333","0.7395","0.7395","0.7395","0.7378333333333333","0.7378333333333333","0.7378333333333333","0.7363333333333333","0.7363333333333333","0.7363333333333333","0.7396666666666667","0.7396666666666667","0.7396666666666667","0.7403333333333333","0.7403333333333333","0.7403333333333333","0.7458333333333333","0.7458333333333333","0.7458333333333333"
"11","0.739","0.739","0.739","0.743","0.743","0.743","0.74","0.74","0.74","0.7403333333333333","0.7403333333333333","0.7403333333333333","0.741","0.741","0.741","0.7443333333333333","0.7443333333333333","0.7443333333333333","0.7416666666666667","0.7416666666666667","0.7416666666666667","0.7408333333333333","0.7408333333333333","0.7408333333333333","0.7406666666666667","0.7406666666666667","0.7406666666666667","0.7418333333333333","0.7418333333333333","0.7418333333333333","0.7508333333333334","0.7508333333333334","0.7508333333333334"
