"Step","fluent-sweep-11 - Average User Test Accuracy","fluent-sweep-11 - Average User Test Accuracy__MIN","fluent-sweep-11 - Average User Test Accuracy__MAX","vital-sweep-10 - Average User Test Accuracy","vital-sweep-10 - Average User Test Accuracy__MIN","vital-sweep-10 - Average User Test Accuracy__MAX","rich-sweep-9 - Average User Test Accuracy","rich-sweep-9 - Average User Test Accuracy__MIN","rich-sweep-9 - Average User Test Accuracy__MAX","stellar-sweep-8 - Average User Test Accuracy","stellar-sweep-8 - Average User Test Accuracy__MIN","stellar-sweep-8 - Average User Test Accuracy__MAX","cool-sweep-7 - Average User Test Accuracy","cool-sweep-7 - Average User Test Accuracy__MIN","cool-sweep-7 - Average User Test Accuracy__MAX","cerulean-sweep-6 - Average User Test Accuracy","cerulean-sweep-6 - Average User Test Accuracy__MIN","cerulean-sweep-6 - Average User Test Accuracy__MAX","blooming-sweep-5 - Average User Test Accuracy","blooming-sweep-5 - Average User Test Accuracy__MIN","blooming-sweep-5 - Average User Test Accuracy__MAX","lively-sweep-4 - Average User Test Accuracy","lively-sweep-4 - Average User Test Accuracy__MIN","lively-sweep-4 - Average User Test Accuracy__MAX","dashing-sweep-3 - Average User Test Accuracy","dashing-sweep-3 - Average User Test Accuracy__MIN","dashing-sweep-3 - Average User Test Accuracy__MAX","northern-sweep-2 - Average User Test Accuracy","northern-sweep-2 - Average User Test Accuracy__MIN","northern-sweep-2 - Average User Test Accuracy__MAX","denim-sweep-1 - Average User Test Accuracy","denim-sweep-1 - Average User Test Accuracy__MIN","denim-sweep-1 - Average User Test Accuracy__MAX"
"0","0.01863934291348517","0.01863934291348517","0.01863934291348517","0.018325540437390965","0.018325540437390965","0.018325540437390965","0.018714261366323263","0.018714261366323263","0.018714261366323263","0.017960368931451094","0.017960368931451094","0.017960368931451094","0.018511656764019314","0.018511656764019314","0.018511656764019314","0.018139567966875582","0.018139567966875582","0.018139567966875582","0.018426951602781218","0.018426951602781218","0.018426951602781218","0.018611167834555582","0.018611167834555582","0.018611167834555582","0.018129443934477293","0.018129443934477293","0.018129443934477293","0.018469360226068904","0.018469360226068904","0.018469360226068904","0.018499022749558808","0.018499022749558808","0.018499022749558808"
"1","0.03951755259589785","0.03951755259589785","0.03951755259589785","0.04002264150876817","0.04002264150876817","0.04002264150876817","0.03953778975405137","0.03953778975405137","0.03953778975405137","0.039375419972465055","0.039375419972465055","0.039375419972465055","0.0396092507587105","0.0396092507587105","0.0396092507587105","0.039362663378450104","0.039362663378450104","0.039362663378450104","0.039474157511002826","0.039474157511002826","0.039474157511002826","0.03927224331988362","0.03927224331988362","0.03927224331988362","0.03891733679529376","0.03891733679529376","0.03891733679529376","0.03945317487133148","0.03945317487133148","0.03945317487133148","0.039764648354209405","0.039764648354209405","0.039764648354209405"
"2","0.0761596156782104","0.0761596156782104","0.0761596156782104","0.07576567670690156","0.07576567670690156","0.07576567670690156","0.07622404753301845","0.07622404753301845","0.07622404753301845","0.07588390350294917","0.07588390350294917","0.07588390350294917","0.07650895225954685","0.07650895225954685","0.07650895225954685","0.07607614780483735","0.07607614780483735","0.07607614780483735","0.07576672730434905","0.07576672730434905","0.07576672730434905","0.07602365311075472","0.07602365311075472","0.07602365311075472","0.07555091643220775","0.07555091643220775","0.07555091643220775","0.0751860415104745","0.0751860415104745","0.0751860415104745","0.07649169275945368","0.07649169275945368","0.07649169275945368"
"3","0.12416568540999504","0.12416568540999504","0.12416568540999504","0.12387126352784657","0.12387126352784657","0.12387126352784657","0.12379499803430774","0.12379499803430774","0.12379499803430774","0.12438504054423953","0.12438504054423953","0.12438504054423953","0.1236089944685306","0.1236089944685306","0.1236089944685306","0.1233364490182647","0.1233364490182647","0.1233364490182647","0.12406682857264405","0.12406682857264405","0.12406682857264405","0.12396687035744348","0.12396687035744348","0.12396687035744348","0.12459658482111037","0.12459658482111037","0.12459658482111037","0.12356334140985306","0.12356334140985306","0.12356334140985306","0.1250747610752258","0.1250747610752258","0.1250747610752258"
"4","0.17491616905866164","0.17491616905866164","0.17491616905866164","0.1747181616900338","0.1747181616900338","0.1747181616900338","0.17463916924859937","0.17463916924859937","0.17463916924859937","0.17597139032203876","0.17597139032203876","0.17597139032203876","0.1735663803610301","0.1735663803610301","0.1735663803610301","0.175224064588106","0.175224064588106","0.175224064588106","0.1749833055835564","0.1749833055835564","0.1749833055835564","0.17558800969701782","0.17558800969701782","0.17558800969701782","0.1745826307107848","0.1745826307107848","0.1745826307107848","0.17477986216664865","0.17477986216664865","0.17477986216664865","0.17508700611788167","0.17508700611788167","0.17508700611788167"
"5","0.22297059280466403","0.22297059280466403","0.22297059280466403","0.22304240801660422","0.22304240801660422","0.22304240801660422","0.22217034589346493","0.22217034589346493","0.22217034589346493","0.2228183999845471","0.2228183999845471","0.2228183999845471","0.2215267031547947","0.2215267031547947","0.2215267031547947","0.22317091991299598","0.22317091991299598","0.22317091991299598","0.2225769555337459","0.2225769555337459","0.2225769555337459","0.22261200833862832","0.22261200833862832","0.22261200833862832","0.22248095183530336","0.22248095183530336","0.22248095183530336","0.22202520770263254","0.22202520770263254","0.22202520770263254","0.22220015494988593","0.22220015494988593","0.22220015494988593"
"6","0.2683130862370383","0.2683130862370383","0.2683130862370383","0.2698459016320993","0.2698459016320993","0.2698459016320993","0.2668624125513488","0.2668624125513488","0.2668624125513488","0.2667072674562153","0.2667072674562153","0.2667072674562153","0.267872192150047","0.267872192150047","0.267872192150047","0.2686376444372512","0.2686376444372512","0.2686376444372512","0.26733001541913287","0.26733001541913287","0.26733001541913287","0.2686761143709519","0.2686761143709519","0.2686761143709519","0.26821049489192644","0.26821049489192644","0.26821049489192644","0.2679126650564665","0.2679126650564665","0.2679126650564665","0.26829517204103226","0.26829517204103226","0.26829517204103226"
"7","0.31246665937256196","0.31246665937256196","0.31246665937256196","0.31430943974835857","0.31430943974835857","0.31430943974835857","0.31144501499629784","0.31144501499629784","0.31144501499629784","0.31114010477354637","0.31114010477354637","0.31114010477354637","0.3126712416640019","0.3126712416640019","0.3126712416640019","0.3133480651645526","0.3133480651645526","0.3133480651645526","0.31202493992157915","0.31202493992157915","0.31202493992157915","0.3136090327881749","0.3136090327881749","0.3136090327881749","0.31440264709841326","0.31440264709841326","0.31440264709841326","0.3132234085186495","0.3132234085186495","0.3132234085186495","0.3127394642531","0.3127394642531","0.3127394642531"
"8","0.3564890943894448","0.3564890943894448","0.3564890943894448","0.35943085500789723","0.35943085500789723","0.35943085500789723","0.35596854086831314","0.35596854086831314","0.35596854086831314","0.35556168529313564","0.35556168529313564","0.35556168529313564","0.35763634220951607","0.35763634220951607","0.35763634220951607","0.35660580790598195","0.35660580790598195","0.35660580790598195","0.35620090286123374","0.35620090286123374","0.35620090286123374","0.3573900433569933","0.3573900433569933","0.3573900433569933","0.3579059436890665","0.3579059436890665","0.3579059436890665","0.35616467164411386","0.35616467164411386","0.35616467164411386","0.35609011650655636","0.35609011650655636","0.35609011650655636"
"9","0.3969068168017936","0.3969068168017936","0.3969068168017936","0.39942942745106846","0.39942942745106846","0.39942942745106846","0.39713287475542786","0.39713287475542786","0.39713287475542786","0.39798776924374685","0.39798776924374685","0.39798776924374685","0.3991646991370809","0.3991646991370809","0.3991646991370809","0.398853755740597","0.398853755740597","0.398853755740597","0.3969381287683039","0.3969381287683039","0.3969381287683039","0.3972773748187051","0.3972773748187051","0.3972773748187051","0.3975605781454847","0.3975605781454847","0.3975605781454847","0.39751956864109883","0.39751956864109883","0.39751956864109883","0.397769568785179","0.397769568785179","0.397769568785179"
"10","0.4349921057905095","0.4349921057905095","0.4349921057905095","0.43546313312925367","0.43546313312925367","0.43546313312925367","0.43569294501749484","0.43569294501749484","0.43569294501749484","0.43452162874153255","0.43452162874153255","0.43452162874153255","0.43590532628903683","0.43590532628903683","0.43590532628903683","0.4363675728871235","0.4363675728871235","0.4363675728871235","0.4345497729356022","0.4345497729356022","0.4345497729356022","0.4349820427309814","0.4349820427309814","0.4349820427309814","0.4333730502481552","0.4333730502481552","0.4333730502481552","0.435420576974097","0.435420576974097","0.435420576974097","0.4343381723211702","0.4343381723211702","0.4343381723211702"
"11","0.46845189575086243","0.46845189575086243","0.46845189575086243","0.4675734640832137","0.4675734640832137","0.4675734640832137","0.46794933416613244","0.46794933416613244","0.46794933416613244","0.46828380855481494","0.46828380855481494","0.46828380855481494","0.46940792642541235","0.46940792642541235","0.46940792642541235","0.46980160784989633","0.46980160784989633","0.46980160784989633","0.46751791418968214","0.46751791418968214","0.46751791418968214","0.46778446889550174","0.46778446889550174","0.46778446889550174","0.46734254419241683","0.46734254419241683","0.46734254419241683","0.468290227672774","0.468290227672774","0.468290227672774","0.46768731844120454","0.46768731844120454","0.46768731844120454"
"12","0.4969031736073477","0.4969031736073477","0.4969031736073477","0.49514628713085085","0.49514628713085085","0.49514628713085085","0.4969486060300617","0.4969486060300617","0.4969486060300617","0.4961312248653911","0.4961312248653911","0.4961312248653911","0.49669926448552615","0.49669926448552615","0.49669926448552615","0.49756559113652415","0.49756559113652415","0.49756559113652415","0.4964707966458535","0.4964707966458535","0.4964707966458535","0.495921077580202","0.495921077580202","0.495921077580202","0.49557536934068275","0.49557536934068275","0.49557536934068275","0.4969367034948859","0.4969367034948859","0.4969367034948859","0.49590535111985806","0.49590535111985806","0.49590535111985806"
