"Step","vocal-sweep-11 - Average Weighted Test Accuracy","vocal-sweep-11 - Average Weighted Test Accuracy__MIN","vocal-sweep-11 - Average Weighted Test Accuracy__MAX","summer-sweep-10 - Average Weighted Test Accuracy","summer-sweep-10 - Average Weighted Test Accuracy__MIN","summer-sweep-10 - Average Weighted Test Accuracy__MAX","major-sweep-9 - Average Weighted Test Accuracy","major-sweep-9 - Average Weighted Test Accuracy__MIN","major-sweep-9 - Average Weighted Test Accuracy__MAX","solar-sweep-8 - Average Weighted Test Accuracy","solar-sweep-8 - Average Weighted Test Accuracy__MIN","solar-sweep-8 - Average Weighted Test Accuracy__MAX","usual-sweep-7 - Average Weighted Test Accuracy","usual-sweep-7 - Average Weighted Test Accuracy__MIN","usual-sweep-7 - Average Weighted Test Accuracy__MAX","sandy-sweep-6 - Average Weighted Test Accuracy","sandy-sweep-6 - Average Weighted Test Accuracy__MIN","sandy-sweep-6 - Average Weighted Test Accuracy__MAX","autumn-sweep-5 - Average Weighted Test Accuracy","autumn-sweep-5 - Average Weighted Test Accuracy__MIN","autumn-sweep-5 - Average Weighted Test Accuracy__MAX","lively-sweep-4 - Average Weighted Test Accuracy","lively-sweep-4 - Average Weighted Test Accuracy__MIN","lively-sweep-4 - Average Weighted Test Accuracy__MAX","lunar-sweep-3 - Average Weighted Test Accuracy","lunar-sweep-3 - Average Weighted Test Accuracy__MIN","lunar-sweep-3 - Average Weighted Test Accuracy__MAX","treasured-sweep-2 - Average Weighted Test Accuracy","treasured-sweep-2 - Average Weighted Test Accuracy__MIN","treasured-sweep-2 - Average Weighted Test Accuracy__MAX","sweepy-sweep-1 - Average Weighted Test Accuracy","sweepy-sweep-1 - Average Weighted Test Accuracy__MIN","sweepy-sweep-1 - Average Weighted Test Accuracy__MAX"
"0","0.3100699697428139","0.3100699697428139","0.3100699697428139","0.3097059379727685","0.3097059379727685","0.3097059379727685","0.31028271558245085","0.31028271558245085","0.31028271558245085","0.3089164145234493","0.3089164145234493","0.3089164145234493","0.3104174546142209","0.3104174546142209","0.3104174546142209","0.31433670574886535","0.31433670574886535","0.31433670574886535","0.31274583963691377","0.31274583963691377","0.31274583963691377","0.3137433812405446","0.3137433812405446","0.3137433812405446","0.31015034039334344","0.31015034039334344","0.31015034039334344","0.31397267397881995","0.31397267397881995","0.31397267397881995","0.31345499243570346","0.31345499243570346","0.31345499243570346"
"1","0.3435585287443268","0.3435585287443268","0.3435585287443268","0.3394407148260212","0.3394407148260212","0.3394407148260212","0.34140034039334344","0.34140034039334344","0.34140034039334344","0.3403106089258699","0.3403106089258699","0.3403106089258699","0.34265081316187596","0.34265081316187596","0.34265081316187596","0.3411450453857791","0.3411450453857791","0.3411450453857791","0.3439840204236006","0.3439840204236006","0.3439840204236006","0.34019478063540093","0.34019478063540093","0.34019478063540093","0.3421638615733737","0.3421638615733737","0.3421638615733737","0.3431661308623298","0.3431661308623298","0.3431661308623298","0.34412585098335857","0.34412585098335857","0.34412585098335857"
"2","0.35917407337367624","0.35917407337367624","0.35917407337367624","0.3587391263237519","0.3587391263237519","0.3587391263237519","0.35772031013615735","0.35772031013615735","0.35772031013615735","0.35656911875945535","0.35656911875945535","0.35656911875945535","0.3569520612708018","0.3569520612708018","0.3569520612708018","0.3590582450832073","0.3590582450832073","0.3590582450832073","0.358616206505295","0.358616206505295","0.358616206505295","0.35716717095310135","0.35716717095310135","0.35716717095310135","0.358204897881997","0.358204897881997","0.358204897881997","0.3572049924357035","0.3572049924357035","0.3572049924357035","0.35893296142208775","0.35893296142208775","0.35893296142208775"
"3","0.37494563161875943","0.37494563161875943","0.37494563161875943","0.37369043116490164","0.37369043116490164","0.37369043116490164","0.3729079992435703","0.3729079992435703","0.3729079992435703","0.3748085287443268","0.3748085287443268","0.3748085287443268","0.3752718419062027","0.3752718419062027","0.3752718419062027","0.37283472012102875","0.37283472012102875","0.37283472012102875","0.37511582829046897","0.37511582829046897","0.37511582829046897","0.37367624810892586","0.37367624810892586","0.37367624810892586","0.3739622730711044","0.3739622730711044","0.3739622730711044","0.37463833207261726","0.37463833207261726","0.37463833207261726","0.3743475794251135","0.3743475794251135","0.3743475794251135"
"4","0.3856065620272315","0.3856065620272315","0.3856065620272315","0.38595404689863844","0.38595404689863844","0.38595404689863844","0.38618806732223904","0.38618806732223904","0.38618806732223904","0.38652609682299544","0.38652609682299544","0.38652609682299544","0.38664428895612707","0.38664428895612707","0.38664428895612707","0.3860675113464448","0.3860675113464448","0.3860675113464448","0.38581930786686836","0.38581930786686836","0.38581930786686836","0.38585476550680786","0.38585476550680786","0.38585476550680786","0.38733689485627837","0.38733689485627837","0.38733689485627837","0.3863913577912254","0.3863913577912254","0.3863913577912254","0.38651900529500754","0.38651900529500754","0.38651900529500754"
"5","0.39519903555219366","0.39519903555219366","0.39519903555219366","0.3950288388804841","0.3950288388804841","0.3950288388804841","0.39540232602118003","0.39540232602118003","0.39540232602118003","0.39445442511346446","0.39445442511346446","0.39445442511346446","0.39445442511346446","0.39445442511346446","0.39445442511346446","0.39511630105900153","0.39511630105900153","0.39511630105900153","0.39454897881996975","0.39454897881996975","0.39454897881996975","0.39530777231467473","0.39530777231467473","0.39530777231467473","0.3957427193645991","0.3957427193645991","0.3957427193645991","0.39417549167927385","0.39417549167927385","0.39417549167927385","0.3945182488653555","0.3945182488653555","0.3945182488653555"
"6","0.40157904689863844","0.40157904689863844","0.40157904689863844","0.40106136535552195","0.40106136535552195","0.40106136535552195","0.40167596444780634","0.40167596444780634","0.40167596444780634","0.4015034039334342","0.4015034039334342","0.4015034039334342","0.4024465771558245","0.4024465771558245","0.4024465771558245","0.4026120461422088","0.4026120461422088","0.4026120461422088","0.40185561649016643","0.40185561649016643","0.40185561649016643","0.40157431921331316","0.40157431921331316","0.40157431921331316","0.4029926248108926","0.4029926248108926","0.4029926248108926","0.4017847012102874","0.4017847012102874","0.4017847012102874","0.40273732980332827","0.40273732980332827","0.40273732980332827"
"7","0.40696151664145236","0.40696151664145236","0.40696151664145236","0.4078290468986384","0.4078290468986384","0.4078290468986384","0.40694024205748863","0.40694024205748863","0.40694024205748863","0.40761157337367626","0.40761157337367626","0.40761157337367626","0.40701115733736765","0.40701115733736765","0.40701115733736765","0.4084838313161876","0.4084838313161876","0.4084838313161876","0.4076824886535552","0.4076824886535552","0.4076824886535552","0.4077013993948563","0.4077013993948563","0.4077013993948563","0.40879349470499243","0.40879349470499243","0.40879349470499243","0.40763284795763993","0.40763284795763993","0.40763284795763993","0.40911497730711044","0.40911497730711044","0.40911497730711044"
"8","0.4116041036308623","0.4116041036308623","0.4116041036308623","0.412062689107413","0.412062689107413","0.412062689107413","0.41185467095310135","0.41185467095310135","0.41185467095310135","0.4117908472012103","0.4117908472012103","0.4117908472012103","0.41305077534039336","0.41305077534039336","0.41305077534039336","0.4121052382753404","0.4121052382753404","0.4121052382753404","0.41297749621785174","0.41297749621785174","0.41297749621785174","0.4121596066565809","0.4121596066565809","0.4121596066565809","0.4127174735249622","0.4127174735249622","0.4127174735249622","0.4129325832072617","0.4129325832072617","0.4129325832072617","0.41231325642965205","0.41231325642965205","0.41231325642965205"
"9","0.41710949319213314","0.41710949319213314","0.41710949319213314","0.4165256240544629","0.4165256240544629","0.4165256240544629","0.4157999243570348","0.4157999243570348","0.4157999243570348","0.4161190431164902","0.4161190431164902","0.4161190431164902","0.4170291225416036","0.4170291225416036","0.4170291225416036","0.4162916036308623","0.4162916036308623","0.4162916036308623","0.41603867246596066","0.41603867246596066","0.41603867246596066","0.4156533661119516","0.4156533661119516","0.4156533661119516","0.4177051815431165","0.4177051815431165","0.4177051815431165","0.416197049924357","0.416197049924357","0.416197049924357","0.41732223903177007","0.41732223903177007","0.41732223903177007"
