"Step","mild-sweep-11 - Average User Test Accuracy","mild-sweep-11 - Average User Test Accuracy__MIN","mild-sweep-11 - Average User Test Accuracy__MAX","generous-sweep-10 - Average User Test Accuracy","generous-sweep-10 - Average User Test Accuracy__MIN","generous-sweep-10 - Average User Test Accuracy__MAX","misunderstood-sweep-9 - Average User Test Accuracy","misunderstood-sweep-9 - Average User Test Accuracy__MIN","misunderstood-sweep-9 - Average User Test Accuracy__MAX","lilac-sweep-8 - Average User Test Accuracy","lilac-sweep-8 - Average User Test Accuracy__MIN","lilac-sweep-8 - Average User Test Accuracy__MAX","giddy-sweep-7 - Average User Test Accuracy","giddy-sweep-7 - Average User Test Accuracy__MIN","giddy-sweep-7 - Average User Test Accuracy__MAX","hardy-sweep-6 - Average User Test Accuracy","hardy-sweep-6 - Average User Test Accuracy__MIN","hardy-sweep-6 - Average User Test Accuracy__MAX","fiery-sweep-5 - Average User Test Accuracy","fiery-sweep-5 - Average User Test Accuracy__MIN","fiery-sweep-5 - Average User Test Accuracy__MAX","autumn-sweep-4 - Average User Test Accuracy","autumn-sweep-4 - Average User Test Accuracy__MIN","autumn-sweep-4 - Average User Test Accuracy__MAX","grateful-sweep-3 - Average User Test Accuracy","grateful-sweep-3 - Average User Test Accuracy__MIN","grateful-sweep-3 - Average User Test Accuracy__MAX","chocolate-sweep-2 - Average User Test Accuracy","chocolate-sweep-2 - Average User Test Accuracy__MIN","chocolate-sweep-2 - Average User Test Accuracy__MAX","major-sweep-1 - Average User Test Accuracy","major-sweep-1 - Average User Test Accuracy__MIN","major-sweep-1 - Average User Test Accuracy__MAX"
"0","0.3090450089629908","0.3090450089629908","0.3090450089629908","0.30948769975724666","0.30948769975724666","0.30948769975724666","0.30935466929222954","0.30935466929222954","0.30935466929222954","0.3093849037993928","0.3093849037993928","0.3093849037993928","0.30957620608287906","0.30957620608287906","0.30957620608287906","0.30941179953527354","0.30941179953527354","0.30941179953527354","0.30945101687685783","0.30945101687685783","0.30945101687685783","0.3092703861823849","0.3092703861823849","0.3092703861823849","0.30936571877190167","0.30936571877190167","0.30936571877190167","0.3095879792051817","0.3095879792051817","0.3095879792051817","0.30938714542193163","0.30938714542193163","0.30938714542193163"
"1","0.32924973108508204","0.32924973108508204","0.32924973108508204","0.329303370030105","0.329303370030105","0.329303370030105","0.329149373970272","0.329149373970272","0.329149373970272","0.3292992943448286","0.3292992943448286","0.3292992943448286","0.32935076700971827","0.32935076700971827","0.32935076700971827","0.32924136125646186","0.32924136125646186","0.32924136125646186","0.3291371649859538","0.3291371649859538","0.3291371649859538","0.3292119567711157","0.3292119567711157","0.3292119567711157","0.32924407568841346","0.32924407568841346","0.32924407568841346","0.3294250329424942","0.3294250329424942","0.3294250329424942","0.32901429390537823","0.32901429390537823","0.32901429390537823"
"2","0.340675556631054","0.340675556631054","0.340675556631054","0.34063118626037386","0.34063118626037386","0.34063118626037386","0.34039023644886074","0.34039023644886074","0.34039023644886074","0.3405972751547084","0.3405972751547084","0.3405972751547084","0.3406082165240338","0.3406082165240338","0.3406082165240338","0.3405294727283615","0.3405294727283615","0.3405294727283615","0.34052916347378265","0.34052916347378265","0.34052916347378265","0.34052348643823055","0.34052348643823055","0.34052348643823055","0.34048390869906026","0.34048390869906026","0.34048390869906026","0.34061186145750283","0.34061186145750283","0.34061186145750283","0.3406150100864062","0.3406150100864062","0.3406150100864062"
"3","0.3486553687760522","0.3486553687760522","0.3486553687760522","0.3488974343720295","0.3488974343720295","0.3488974343720295","0.34872141760758674","0.34872141760758674","0.34872141760758674","0.34886409170914995","0.34886409170914995","0.34886409170914995","0.3486508717211874","0.3486508717211874","0.3486508717211874","0.34877673539521353","0.34877673539521353","0.34877673539521353","0.3489545825458514","0.3489545825458514","0.3489545825458514","0.34877182137221435","0.34877182137221435","0.34877182137221435","0.34889211297926426","0.34889211297926426","0.34889211297926426","0.34884445127992825","0.34884445127992825","0.34884445127992825","0.3490659460341569","0.3490659460341569","0.3490659460341569"
"4","0.3560420481820449","0.3560420481820449","0.3560420481820449","0.35599031787934665","0.35599031787934665","0.35599031787934665","0.3557925525207681","0.3557925525207681","0.3557925525207681","0.356040081018974","0.356040081018974","0.356040081018974","0.3557102417991702","0.3557102417991702","0.3557102417991702","0.35582588402074183","0.35582588402074183","0.35582588402074183","0.35589278186305084","0.35589278186305084","0.35589278186305084","0.3559122287534254","0.3559122287534254","0.3559122287534254","0.3557276126198196","0.3557276126198196","0.3557276126198196","0.3559844723961302","0.3559844723961302","0.3559844723961302","0.3559432247827762","0.3559432247827762","0.3559432247827762"
"5","0.36150700354572735","0.36150700354572735","0.36150700354572735","0.36145814437012125","0.36145814437012125","0.36145814437012125","0.3618035844507032","0.3618035844507032","0.3618035844507032","0.36179776300777433","0.36179776300777433","0.36179776300777433","0.36161347502842606","0.36161347502842606","0.36161347502842606","0.36176993257918877","0.36176993257918877","0.36176993257918877","0.3615494905564672","0.3615494905564672","0.3615494905564672","0.36151280480472664","0.36151280480472664","0.36151280480472664","0.3618067185481068","0.3618067185481068","0.3618067185481068","0.36175047388531256","0.36175047388531256","0.36175047388531256","0.3618895308759018","0.3618895308759018","0.3618895308759018"
"6","0.36667114152857205","0.36667114152857205","0.36667114152857205","0.366403006145277","0.366403006145277","0.366403006145277","0.3666356060147281","0.3666356060147281","0.3666356060147281","0.3669532142733765","0.3669532142733765","0.3669532142733765","0.36646563561743567","0.36646563561743567","0.36646563561743567","0.366463685457528","0.366463685457528","0.366463685457528","0.366523918384539","0.366523918384539","0.366523918384539","0.366719986485581","0.366719986485581","0.366719986485581","0.3664929866317571","0.3664929866317571","0.3664929866317571","0.3666013506683567","0.3666013506683567","0.3666013506683567","0.3669360319092005","0.3669360319092005","0.3669360319092005"
"7","0.37064795540884726","0.37064795540884726","0.37064795540884726","0.3703928403125108","0.3703928403125108","0.3703928403125108","0.3707423896965624","0.3707423896965624","0.3707423896965624","0.3710420583385083","0.3710420583385083","0.3710420583385083","0.3706020255346165","0.3706020255346165","0.3706020255346165","0.37092222136177966","0.37092222136177966","0.37092222136177966","0.3708002497482769","0.3708002497482769","0.3708002497482769","0.3707395896447324","0.3707395896447324","0.3707395896447324","0.37085864694060416","0.37085864694060416","0.37085864694060416","0.3709933278160934","0.3709933278160934","0.3709933278160934","0.37093341481584796","0.37093341481584796","0.37093341481584796"
"8","0.37445940935798366","0.37445940935798366","0.37445940935798366","0.3743311203191635","0.3743311203191635","0.3743311203191635","0.374442501609677","0.374442501609677","0.374442501609677","0.37458139199968177","0.37458139199968177","0.37458139199968177","0.37447435659735134","0.37447435659735134","0.37447435659735134","0.37484357200148116","0.37484357200148116","0.37484357200148116","0.3743961590942052","0.3743961590942052","0.3743961590942052","0.3746012024071126","0.3746012024071126","0.3746012024071126","0.37442900945380747","0.37442900945380747","0.37442900945380747","0.37453157022315753","0.37453157022315753","0.37453157022315753","0.3747013745879069","0.3747013745879069","0.3747013745879069"
"9","0.37799799701545583","0.37799799701545583","0.37799799701545583","0.3776727266118612","0.3776727266118612","0.3776727266118612","0.37778136267472306","0.37778136267472306","0.37778136267472306","0.37784987837888045","0.37784987837888045","0.37784987837888045","0.37770645181430845","0.37770645181430845","0.37770645181430845","0.37799182741447385","0.37799182741447385","0.37799182741447385","0.3776441770343364","0.3776441770343364","0.3776441770343364","0.3778268551072225","0.3778268551072225","0.3778268551072225","0.377736185515178","0.377736185515178","0.377736185515178","0.3777506755394075","0.3777506755394075","0.3777506755394075","0.37788812734265664","0.37788812734265664","0.37788812734265664"
