"Step","laced-sweep-11 - Average Weighted Test Accuracy","laced-sweep-11 - Average Weighted Test Accuracy__MIN","laced-sweep-11 - Average Weighted Test Accuracy__MAX","magic-sweep-10 - Average Weighted Test Accuracy","magic-sweep-10 - Average Weighted Test Accuracy__MIN","magic-sweep-10 - Average Weighted Test Accuracy__MAX","wandering-sweep-9 - Average Weighted Test Accuracy","wandering-sweep-9 - Average Weighted Test Accuracy__MIN","wandering-sweep-9 - Average Weighted Test Accuracy__MAX","glowing-sweep-8 - Average Weighted Test Accuracy","glowing-sweep-8 - Average Weighted Test Accuracy__MIN","glowing-sweep-8 - Average Weighted Test Accuracy__MAX","lucky-sweep-7 - Average Weighted Test Accuracy","lucky-sweep-7 - Average Weighted Test Accuracy__MIN","lucky-sweep-7 - Average Weighted Test Accuracy__MAX","swept-sweep-6 - Average Weighted Test Accuracy","swept-sweep-6 - Average Weighted Test Accuracy__MIN","swept-sweep-6 - Average Weighted Test Accuracy__MAX","proud-sweep-5 - Average Weighted Test Accuracy","proud-sweep-5 - Average Weighted Test Accuracy__MIN","proud-sweep-5 - Average Weighted Test Accuracy__MAX","whole-sweep-4 - Average Weighted Test Accuracy","whole-sweep-4 - Average Weighted Test Accuracy__MIN","whole-sweep-4 - Average Weighted Test Accuracy__MAX","zany-sweep-3 - Average Weighted Test Accuracy","zany-sweep-3 - Average Weighted Test Accuracy__MIN","zany-sweep-3 - Average Weighted Test Accuracy__MAX","northern-sweep-2 - Average Weighted Test Accuracy","northern-sweep-2 - Average Weighted Test Accuracy__MIN","northern-sweep-2 - Average Weighted Test Accuracy__MAX","dry-sweep-1 - Average Weighted Test Accuracy","dry-sweep-1 - Average Weighted Test Accuracy__MIN","dry-sweep-1 - Average Weighted Test Accuracy__MAX"
"0","0.42133333333333334","0.42133333333333334","0.42133333333333334","0.4295","0.4295","0.4295","0.427","0.427","0.427","0.4135","0.4135","0.4135","0.4216666666666667","0.4216666666666667","0.4216666666666667","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.4186666666666667","0.4186666666666667","0.4186666666666667","0.417","0.417","0.417","0.41933333333333334","0.41933333333333334","0.41933333333333334","0.4266666666666667","0.4266666666666667","0.4266666666666667","0.4146666666666667","0.4146666666666667","0.4146666666666667"
"1","0.5685","0.5685","0.5685","0.5685","0.5685","0.5685","0.5643333333333334","0.5643333333333334","0.5643333333333334","0.5608333333333333","0.5608333333333333","0.5608333333333333","0.5675","0.5675","0.5675","0.5643333333333334","0.5643333333333334","0.5643333333333334","0.5563333333333333","0.5563333333333333","0.5563333333333333","0.5585","0.5585","0.5585","0.563","0.563","0.563","0.5641666666666667","0.5641666666666667","0.5641666666666667","0.5648333333333333","0.5648333333333333","0.5648333333333333"
"2","0.6368333333333334","0.6368333333333334","0.6368333333333334","0.637","0.637","0.637","0.6325","0.6325","0.6325","0.6326666666666667","0.6326666666666667","0.6326666666666667","0.6318333333333334","0.6318333333333334","0.6318333333333334","0.6313333333333333","0.6313333333333333","0.6313333333333333","0.6298333333333334","0.6298333333333334","0.6298333333333334","0.6303333333333333","0.6303333333333333","0.6303333333333333","0.631","0.631","0.631","0.6291666666666667","0.6291666666666667","0.6291666666666667","0.6251666666666666","0.6251666666666666","0.6251666666666666"
"3","0.6698333333333333","0.6698333333333333","0.6698333333333333","0.6698333333333333","0.6698333333333333","0.6698333333333333","0.6695","0.6695","0.6695","0.6701666666666667","0.6701666666666667","0.6701666666666667","0.6673333333333333","0.6673333333333333","0.6673333333333333","0.669","0.669","0.669","0.6656666666666666","0.6656666666666666","0.6656666666666666","0.6665","0.6665","0.6665","0.6708333333333333","0.6708333333333333","0.6708333333333333","0.6713333333333333","0.6713333333333333","0.6713333333333333","0.6651666666666667","0.6651666666666667","0.6651666666666667"
"4","0.6931666666666667","0.6931666666666667","0.6931666666666667","0.6925","0.6925","0.6925","0.691","0.691","0.691","0.6918333333333333","0.6918333333333333","0.6918333333333333","0.6901666666666667","0.6901666666666667","0.6901666666666667","0.6883333333333334","0.6883333333333334","0.6883333333333334","0.6901666666666667","0.6901666666666667","0.6901666666666667","0.6898333333333333","0.6898333333333333","0.6898333333333333","0.6891666666666667","0.6891666666666667","0.6891666666666667","0.6906666666666667","0.6906666666666667","0.6906666666666667","0.6886666666666666","0.6886666666666666","0.6886666666666666"
"5","0.7091666666666666","0.7091666666666666","0.7091666666666666","0.707","0.707","0.707","0.7058333333333333","0.7058333333333333","0.7058333333333333","0.7055","0.7055","0.7055","0.707","0.707","0.707","0.707","0.707","0.707","0.703","0.703","0.703","0.7051666666666667","0.7051666666666667","0.7051666666666667","0.7041666666666667","0.7041666666666667","0.7041666666666667","0.7078333333333333","0.7078333333333333","0.7078333333333333","0.7023333333333334","0.7023333333333334","0.7023333333333334"
"6","0.7203333333333334","0.7203333333333334","0.7203333333333334","0.7181666666666666","0.7181666666666666","0.7181666666666666","0.72","0.72","0.72","0.7146666666666667","0.7146666666666667","0.7146666666666667","0.7175","0.7175","0.7175","0.718","0.718","0.718","0.7143333333333334","0.7143333333333334","0.7143333333333334","0.7143333333333334","0.7143333333333334","0.7143333333333334","0.7178333333333333","0.7178333333333333","0.7178333333333333","0.7201666666666666","0.7201666666666666","0.7201666666666666","0.718","0.718","0.718"
"7","0.7315","0.7315","0.7315","0.7278333333333333","0.7278333333333333","0.7278333333333333","0.7303333333333333","0.7303333333333333","0.7303333333333333","0.7241666666666666","0.7241666666666666","0.7241666666666666","0.7293333333333333","0.7293333333333333","0.7293333333333333","0.7291666666666666","0.7291666666666666","0.7291666666666666","0.7286666666666667","0.7286666666666667","0.7286666666666667","0.7248333333333333","0.7248333333333333","0.7248333333333333","0.7275","0.7275","0.7275","0.7288333333333333","0.7288333333333333","0.7288333333333333","0.7263333333333334","0.7263333333333334","0.7263333333333334"
"8","0.7386666666666667","0.7386666666666667","0.7386666666666667","0.7355","0.7355","0.7355","0.7375","0.7375","0.7375","0.7333333333333333","0.7333333333333333","0.7333333333333333","0.736","0.736","0.736","0.7378333333333333","0.7378333333333333","0.7378333333333333","0.7346666666666667","0.7346666666666667","0.7346666666666667","0.7343333333333333","0.7343333333333333","0.7343333333333333","0.735","0.735","0.735","0.737","0.737","0.737","0.7353333333333333","0.7353333333333333","0.7353333333333333"
"9","0.7451666666666666","0.7451666666666666","0.7451666666666666","0.743","0.743","0.743","0.7451666666666666","0.7451666666666666","0.7451666666666666","0.7418333333333333","0.7418333333333333","0.7418333333333333","0.7441666666666666","0.7441666666666666","0.7441666666666666","0.7441666666666666","0.7441666666666666","0.7441666666666666","0.7435","0.7435","0.7435","0.7406666666666667","0.7406666666666667","0.7406666666666667","0.7415","0.7415","0.7415","0.7423333333333333","0.7423333333333333","0.7423333333333333","0.7398333333333333","0.7398333333333333","0.7398333333333333"
"10","0.7511666666666666","0.7511666666666666","0.7511666666666666","0.7476666666666667","0.7476666666666667","0.7476666666666667","0.7511666666666666","0.7511666666666666","0.7511666666666666","0.7478333333333333","0.7478333333333333","0.7478333333333333","0.7468333333333333","0.7468333333333333","0.7468333333333333","0.7483333333333333","0.7483333333333333","0.7483333333333333","0.7468333333333333","0.7468333333333333","0.7468333333333333","0.7466666666666667","0.7466666666666667","0.7466666666666667","0.7453333333333333","0.7453333333333333","0.7453333333333333","0.7481666666666666","0.7481666666666666","0.7481666666666666","0.7458333333333333","0.7458333333333333","0.7458333333333333"
"11","0.7545","0.7545","0.7545","0.7513333333333333","0.7513333333333333","0.7513333333333333","0.7528333333333334","0.7528333333333334","0.7528333333333334","0.7498333333333334","0.7498333333333334","0.7498333333333334","0.751","0.751","0.751","0.7538333333333334","0.7538333333333334","0.7538333333333334","0.752","0.752","0.752","0.75","0.75","0.75","0.7493333333333333","0.7493333333333333","0.7493333333333333","0.7533333333333333","0.7533333333333333","0.7533333333333333","0.7508333333333334","0.7508333333333334","0.7508333333333334"
"12","0.7576666666666667","0.7576666666666667","0.7576666666666667","0.7543333333333333","0.7543333333333333","0.7543333333333333","0.7548333333333334","0.7548333333333334","0.7548333333333334","0.754","0.754","0.754","0.755","0.755","0.755","0.757","0.757","0.757","0.7543333333333333","0.7543333333333333","0.7543333333333333","0.7518333333333334","0.7518333333333334","0.7518333333333334","0.751","0.751","0.751","0.7555","0.7555","0.7555","0.7545","0.7545","0.7545"
"13","0.7595","0.7595","0.7595","0.7561666666666667","0.7561666666666667","0.7561666666666667","0.755","0.755","0.755","0.755","0.755","0.755","0.7586666666666667","0.7586666666666667","0.7586666666666667","0.7595","0.7595","0.7595","0.7576666666666667","0.7576666666666667","0.7576666666666667","0.7538333333333334","0.7538333333333334","0.7538333333333334","0.7528333333333334","0.7528333333333334","0.7528333333333334","0.758","0.758","0.758","0.7553333333333333","0.7553333333333333","0.7553333333333333"
"14","0.7603333333333333","0.7603333333333333","0.7603333333333333","0.7573333333333333","0.7573333333333333","0.7573333333333333","0.7548333333333334","0.7548333333333334","0.7548333333333334","0.757","0.757","0.757","0.7583333333333333","0.7583333333333333","0.7583333333333333","0.7606666666666667","0.7606666666666667","0.7606666666666667","0.7583333333333333","0.7583333333333333","0.7583333333333333","0.7576666666666667","0.7576666666666667","0.7576666666666667","0.7538333333333334","0.7538333333333334","0.7538333333333334","0.7588333333333334","0.7588333333333334","0.7588333333333334","0.7566666666666667","0.7566666666666667","0.7566666666666667"
"15","0.7603333333333333","0.7603333333333333","0.7603333333333333","0.7581666666666667","0.7581666666666667","0.7581666666666667","0.7558333333333334","0.7558333333333334","0.7558333333333334","0.7578333333333334","0.7578333333333334","0.7578333333333334","0.7586666666666667","0.7586666666666667","0.7586666666666667","0.7611666666666667","0.7611666666666667","0.7611666666666667","0.7593333333333333","0.7593333333333333","0.7593333333333333","0.7588333333333334","0.7588333333333334","0.7588333333333334","0.7558333333333334","0.7558333333333334","0.7558333333333334","0.7601666666666667","0.7601666666666667","0.7601666666666667","0.7575","0.7575","0.7575"
"16","0.762","0.762","0.762","0.76","0.76","0.76","0.7565","0.7565","0.7565","0.7588333333333334","0.7588333333333334","0.7588333333333334","0.7591666666666667","0.7591666666666667","0.7591666666666667","0.761","0.761","0.761","0.7601666666666667","0.7601666666666667","0.7601666666666667","0.759","0.759","0.759","0.7571666666666667","0.7571666666666667","0.7571666666666667","0.76","0.76","0.76","0.7565","0.7565","0.7565"
"17","0.7618333333333334","0.7618333333333334","0.7618333333333334","0.7598333333333334","0.7598333333333334","0.7598333333333334","0.7588333333333334","0.7588333333333334","0.7588333333333334","0.7593333333333333","0.7593333333333333","0.7593333333333333","0.7586666666666667","0.7586666666666667","0.7586666666666667","0.7605","0.7605","0.7605","0.7608333333333334","0.7608333333333334","0.7608333333333334","0.7596666666666667","0.7596666666666667","0.7596666666666667","0.757","0.757","0.757","0.7615","0.7615","0.7615","0.7575","0.7575","0.7575"
"18","0.7628333333333334","0.7628333333333334","0.7628333333333334","0.7591666666666667","0.7591666666666667","0.7591666666666667","0.7591666666666667","0.7591666666666667","0.7591666666666667","0.7593333333333333","0.7593333333333333","0.7593333333333333","0.7596666666666667","0.7596666666666667","0.7596666666666667","0.7606666666666667","0.7606666666666667","0.7606666666666667","0.76","0.76","0.76","0.76","0.76","0.76","0.7565","0.7565","0.7565","0.762","0.762","0.762","0.7583333333333333","0.7583333333333333","0.7583333333333333"
"19","0.7636666666666667","0.7636666666666667","0.7636666666666667","0.7601666666666667","0.7601666666666667","0.7601666666666667","0.7603333333333333","0.7603333333333333","0.7603333333333333","0.7595","0.7595","0.7595","0.76","0.76","0.76","0.761","0.761","0.761","0.7605","0.7605","0.7605","0.7611666666666667","0.7611666666666667","0.7611666666666667","0.7571666666666667","0.7571666666666667","0.7571666666666667","0.7623333333333333","0.7623333333333333","0.7623333333333333","0.7581666666666667","0.7581666666666667","0.7581666666666667"
"20","0.7648333333333334","0.7648333333333334","0.7648333333333334","0.7606666666666667","0.7606666666666667","0.7606666666666667","0.7598333333333334","0.7598333333333334","0.7598333333333334","0.76","0.76","0.76","0.7615","0.7615","0.7615","0.7613333333333333","0.7613333333333333","0.7613333333333333","0.7603333333333333","0.7603333333333333","0.7603333333333333","0.7618333333333334","0.7618333333333334","0.7618333333333334","0.7575","0.7575","0.7575","0.7628333333333334","0.7628333333333334","0.7628333333333334","0.758","0.758","0.758"
"21","0.7641666666666667","0.7641666666666667","0.7641666666666667","0.761","0.761","0.761","0.7591666666666667","0.7591666666666667","0.7591666666666667","0.7603333333333333","0.7603333333333333","0.7603333333333333","0.7615","0.7615","0.7615","0.7608333333333334","0.7608333333333334","0.7608333333333334","0.7611666666666667","0.7611666666666667","0.7611666666666667","0.7623333333333333","0.7623333333333333","0.7623333333333333","0.759","0.759","0.759","0.7633333333333333","0.7633333333333333","0.7633333333333333","0.7583333333333333","0.7583333333333333","0.7583333333333333"
"22","0.7651666666666667","0.7651666666666667","0.7651666666666667","0.7611666666666667","0.7611666666666667","0.7611666666666667","0.7598333333333334","0.7598333333333334","0.7598333333333334","0.7606666666666667","0.7606666666666667","0.7606666666666667","0.7618333333333334","0.7618333333333334","0.7618333333333334","0.7601666666666667","0.7601666666666667","0.7601666666666667","0.7621666666666667","0.7621666666666667","0.7621666666666667","0.7623333333333333","0.7623333333333333","0.7623333333333333","0.7581666666666667","0.7581666666666667","0.7581666666666667","0.7625","0.7625","0.7625","0.7581666666666667","0.7581666666666667","0.7581666666666667"
"23","0.7655","0.7655","0.7655","0.7611666666666667","0.7611666666666667","0.7611666666666667","0.7601666666666667","0.7601666666666667","0.7601666666666667","0.7611666666666667","0.7611666666666667","0.7611666666666667","0.7625","0.7625","0.7625","0.7611666666666667","0.7611666666666667","0.7611666666666667","0.7613333333333333","0.7613333333333333","0.7613333333333333","0.763","0.763","0.763","0.7578333333333334","0.7578333333333334","0.7578333333333334","0.7625","0.7625","0.7625","0.7583333333333333","0.7583333333333333","0.7583333333333333"
"24","0.7651666666666667","0.7651666666666667","0.7651666666666667","0.7608333333333334","0.7608333333333334","0.7608333333333334","0.7605","0.7605","0.7605","0.762","0.762","0.762","0.7615","0.7615","0.7615","0.7613333333333333","0.7613333333333333","0.7613333333333333","0.7613333333333333","0.7613333333333333","0.7613333333333333","0.7635","0.7635","0.7635","0.7573333333333333","0.7573333333333333","0.7573333333333333","0.7625","0.7625","0.7625","0.7593333333333333","0.7593333333333333","0.7593333333333333"
"25","0.7646666666666667","0.7646666666666667","0.7646666666666667","0.7613333333333333","0.7613333333333333","0.7613333333333333","0.7606666666666667","0.7606666666666667","0.7606666666666667","0.7616666666666667","0.7616666666666667","0.7616666666666667","0.7618333333333334","0.7618333333333334","0.7618333333333334","0.7616666666666667","0.7616666666666667","0.7616666666666667","0.7606666666666667","0.7606666666666667","0.7606666666666667","0.7635","0.7635","0.7635","0.7573333333333333","0.7573333333333333","0.7573333333333333","0.7626666666666667","0.7626666666666667","0.7626666666666667","0.759","0.759","0.759"
