"Step","fancy-sweep-11 - Average Weighted Test Accuracy","fancy-sweep-11 - Average Weighted Test Accuracy__MIN","fancy-sweep-11 - Average Weighted Test Accuracy__MAX","avid-sweep-10 - Average Weighted Test Accuracy","avid-sweep-10 - Average Weighted Test Accuracy__MIN","avid-sweep-10 - Average Weighted Test Accuracy__MAX","vibrant-sweep-9 - Average Weighted Test Accuracy","vibrant-sweep-9 - Average Weighted Test Accuracy__MIN","vibrant-sweep-9 - Average Weighted Test Accuracy__MAX","laced-sweep-8 - Average Weighted Test Accuracy","laced-sweep-8 - Average Weighted Test Accuracy__MIN","laced-sweep-8 - Average Weighted Test Accuracy__MAX","gallant-sweep-7 - Average Weighted Test Accuracy","gallant-sweep-7 - Average Weighted Test Accuracy__MIN","gallant-sweep-7 - Average Weighted Test Accuracy__MAX","silvery-sweep-6 - Average Weighted Test Accuracy","silvery-sweep-6 - Average Weighted Test Accuracy__MIN","silvery-sweep-6 - Average Weighted Test Accuracy__MAX","bright-sweep-5 - Average Weighted Test Accuracy","bright-sweep-5 - Average Weighted Test Accuracy__MIN","bright-sweep-5 - Average Weighted Test Accuracy__MAX","fancy-sweep-4 - Average Weighted Test Accuracy","fancy-sweep-4 - Average Weighted Test Accuracy__MIN","fancy-sweep-4 - Average Weighted Test Accuracy__MAX","sweet-sweep-3 - Average Weighted Test Accuracy","sweet-sweep-3 - Average Weighted Test Accuracy__MIN","sweet-sweep-3 - Average Weighted Test Accuracy__MAX","olive-sweep-2 - Average Weighted Test Accuracy","olive-sweep-2 - Average Weighted Test Accuracy__MIN","olive-sweep-2 - Average Weighted Test Accuracy__MAX","rosy-sweep-1 - Average Weighted Test Accuracy","rosy-sweep-1 - Average Weighted Test Accuracy__MIN","rosy-sweep-1 - Average Weighted Test Accuracy__MAX"
"0","0.02807067356710504","0.02807067356710504","0.02807067356710504","0.014790341107081554","0.014790341107081554","0.014790341107081554","0.03282010247409109","0.03282010247409109","0.03282010247409109","0.02923221868022663","0.02923221868022663","0.02923221868022663","0.06112308506382045","0.06112308506382045","0.06112308506382045","0.02403107778480441","0.02403107778480441","0.02403107778480441","0.030380857736535757","0.030380857736535757","0.030380857736535757","0.02954196404372572","0.02954196404372572","0.02954196404372572","0.045390601809429165","0.045390601809429165","0.045390601809429165","0.01680368596982564","0.01680368596982564","0.01680368596982564","0.017603861492198287","0.017603861492198287","0.017603861492198287"
"1","0.05381825690796691","0.05381825690796691","0.05381825690796691","0.03267813584915401","0.03267813584915401","0.03267813584915401","0.06946039776467096","0.06946039776467096","0.06946039776467096","0.05723836196326936","0.05723836196326936","0.05723836196326936","0.10508111456706633","0.10508111456706633","0.10508111456706633","0.04989481563697844","0.04989481563697844","0.04989481563697844","0.050281997341352296","0.050281997341352296","0.050281997341352296","0.06129086380238246","0.06129086380238246","0.06129086380238246","0.07624898364802601","0.07624898364802601","0.07624898364802601","0.039892621607320315","0.039892621607320315","0.039892621607320315","0.04029270936850664","0.04029270936850664","0.04029270936850664"
"2","0.10262896377269853","0.10262896377269853","0.10262896377269853","0.07312571789941019","0.07312571789941019","0.07312571789941019","0.12548559038756887","0.12548559038756887","0.12548559038756887","0.0985893679903979","0.0985893679903979","0.0985893679903979","0.1583702231457223","0.1583702231457223","0.1583702231457223","0.09115547926641973","0.09115547926641973","0.09115547926641973","0.08373449659925403","0.08373449659925403","0.08373449659925403","0.10255152743182376","0.10255152743182376","0.10255152743182376","0.11687725049365667","0.11687725049365667","0.11687725049365667","0.0725449453428494","0.0725449453428494","0.0725449453428494","0.07957874630564124","0.07957874630564124","0.07957874630564124"
"3","0.16641069653988616","0.16641069653988616","0.16641069653988616","0.1265696991598157","0.1265696991598157","0.1265696991598157","0.18871236271182065","0.18871236271182065","0.18871236271182065","0.1491423925248119","0.1491423925248119","0.1491423925248119","0.20635494237445634","0.20635494237445634","0.20635494237445634","0.13464889072441696","0.13464889072441696","0.13464889072441696","0.12924125291999536","0.12924125291999536","0.12924125291999536","0.1496844469109353","0.1496844469109353","0.1496844469109353","0.16370042460926912","0.16370042460926912","0.16370042460926912","0.11250209723423203","0.11250209723423203","0.11250209723423203","0.1309319463624279","0.1309319463624279","0.1309319463624279"
"4","0.23460630073693584","0.23460630073693584","0.23460630073693584","0.1852535394860808","0.1852535394860808","0.1852535394860808","0.24768013628795993","0.24768013628795993","0.24768013628795993","0.20843281752126272","0.20843281752126272","0.20843281752126272","0.24978382354839127","0.24978382354839127","0.24978382354839127","0.18016855310197075","0.18016855310197075","0.18016855310197075","0.1803621439541577","0.1803621439541577","0.1803621439541577","0.20305099183046604","0.20305099183046604","0.20305099183046604","0.21164642566756578","0.21164642566756578","0.21164642566756578","0.15603422686266666","0.15603422686266666","0.15603422686266666","0.18265942206677593","0.18265942206677593","0.18265942206677593"
"5","0.3016532658776764","0.3016532658776764","0.3016532658776764","0.24651859117483835","0.24651859117483835","0.24651859117483835","0.29758785798175086","0.29758785798175086","0.29758785798175086","0.26956880864189564","0.26956880864189564","0.26956880864189564","0.28692745505465717","0.28692745505465717","0.28692745505465717","0.2276757482286437","0.2276757482286437","0.2276757482286437","0.23211543177213065","0.23211543177213065","0.23211543177213065","0.25870190880580257","0.25870190880580257","0.25870190880580257","0.2589987481124892","0.2589987481124892","0.2589987481124892","0.2014635468425332","0.2014635468425332","0.2014635468425332","0.23048926861376043","0.23048926861376043","0.23048926861376043"
"6","0.3622342965553734","0.3622342965553734","0.3622342965553734","0.30561542531910224","0.30561542531910224","0.30561542531910224","0.3401778454628757","0.3401778454628757","0.3401778454628757","0.32858820644528475","0.32858820644528475","0.32858820644528475","0.3206509815056206","0.3206509815056206","0.3206509815056206","0.2753249099802537","0.2753249099802537","0.2753249099802537","0.2824877715111702","0.2824877715111702","0.2824877715111702","0.31205554766852084","0.31205554766852084","0.31205554766852084","0.30543474052372777","0.30543474052372777","0.30543474052372777","0.24583457016377785","0.24583457016377785","0.24583457016377785","0.27569918562781515","0.27569918562781515","0.27569918562781515"
"7","0.4159751171224656","0.4159751171224656","0.4159751171224656","0.35721384045532567","0.35721384045532567","0.35721384045532567","0.3768310468102681","0.3768310468102681","0.3768310468102681","0.3817611605126286","0.3817611605126286","0.3817611605126286","0.35321296284346243","0.35321296284346243","0.35321296284346243","0.3231289444136133","0.3231289444136133","0.3231289444136133","0.3292206032290954","0.3292206032290954","0.3292206032290954","0.3597047094201309","0.3597047094201309","0.3597047094201309","0.34691480711898093","0.34691480711898093","0.34691480711898093","0.28726301253178116","0.28726301253178116","0.28726301253178116","0.3182633609953151","0.3182633609953151","0.3182633609953151"
"8","0.4593781861827756","0.4593781861827756","0.4593781861827756","0.4024495695830053","0.4024495695830053","0.4024495695830053","0.4099996128182956","0.4099996128182956","0.4099996128182956","0.42690654724262095","0.42690654724262095","0.42690654724262095","0.38395519017074714","0.38395519017074714","0.38395519017074714","0.3684292038253552","0.3684292038253552","0.3684292038253552","0.37150084534672123","0.37150084534672123","0.37150084534672123","0.4028238452305667","0.4028238452305667","0.4028238452305667","0.3873107649419873","0.3873107649419873","0.3873107649419873","0.3282139307977234","0.3282139307977234","0.3282139307977234","0.35962727307925607","0.35962727307925607","0.35962727307925607"
"9","0.4945342849399223","0.4945342849399223","0.4945342849399223","0.4415291096111405","0.4415291096111405","0.4415291096111405","0.4394641405211466","0.4394641405211466","0.4394641405211466","0.4633145335105765","0.4633145335105765","0.4633145335105765","0.41425861156640814","0.41425861156640814","0.41425861156640814","0.407831395273802","0.407831395273802","0.407831395273802","0.41054166720441904","0.41054166720441904","0.41054166720441904","0.440173973645832","0.440173973645832","0.440173973645832","0.4249577326639392","0.4249577326639392","0.4249577326639392","0.3658608985196753","0.3658608985196753","0.3658608985196753","0.39881006156189097","0.39881006156189097","0.39881006156189097"
"10","0.5238052217905863","0.5238052217905863","0.5238052217905863","0.47449117871016866","0.47449117871016866","0.47449117871016866","0.4653795026005704","0.4653795026005704","0.4653795026005704","0.4941987274627983","0.4941987274627983","0.4941987274627983","0.44204535188363897","0.44204535188363897","0.44204535188363897","0.4426261244401998","0.4426261244401998","0.4426261244401998","0.44414903914407033","0.44414903914407033","0.44414903914407033","0.472013215802176","0.472013215802176","0.472013215802176","0.45724868680871933","0.45724868680871933","0.45724868680871933","0.40048784894751105","0.40048784894751105","0.40048784894751105","0.4337725694668508","0.4337725694668508","0.4337725694668508"
"11","0.5474491178710169","0.5474491178710169","0.5474491178710169","0.5033362156860215","0.5033362156860215","0.5033362156860215","0.4892686137604378","0.4892686137604378","0.4892686137604378","0.5193784443039118","0.5193784443039118","0.5193784443039118","0.46932875598518387","0.46932875598518387","0.46932875598518387","0.4737039092446085","0.4737039092446085","0.4737039092446085","0.47494289069860485","0.47494289069860485","0.47494289069860485","0.49894815636978435","0.49894815636978435","0.49894815636978435","0.48632603280719644","0.48632603280719644","0.48632603280719644","0.43052024315011034","0.43052024315011034","0.43052024315011034","0.4656634358504446","0.4656634358504446","0.4656634358504446"
"12","0.5674147877598957","0.5674147877598957","0.5674147877598957","0.5283352477317605","0.5283352477317605","0.5283352477317605","0.5118800252958714","0.5118800252958714","0.5118800252958714","0.5403507866241627","0.5403507866241627","0.5403507866241627","0.4940825729514861","0.4940825729514861","0.4940825729514861","0.5011550920847153","0.5011550920847153","0.5011550920847153","0.4999806409147813","0.4999806409147813","0.4999806409147813","0.5227469251319644","0.5227469251319644","0.5227469251319644","0.5118929313526838","0.5118929313526838","0.5118929313526838","0.45723578075190685","0.45723578075190685","0.45723578075190685","0.49321786714505117","0.49321786714505117","0.49321786714505117"
"13","0.5822954712646645","0.5822954712646645","0.5822954712646645","0.5492430597679491","0.5492430597679491","0.5492430597679491","0.5311874862873146","0.5311874862873146","0.5311874862873146","0.5595033749338565","0.5595033749338565","0.5595033749338565","0.5161777422144213","0.5161777422144213","0.5161777422144213","0.5236116309383994","0.5236116309383994","0.5236116309383994","0.523766503620149","0.523766503620149","0.523766503620149","0.543319179691029","0.543319179691029","0.543319179691029","0.5330717705819341","0.5330717705819341","0.5330717705819341","0.482209000684021","0.482209000684021","0.482209000684021","0.5175845024069796","0.5175845024069796","0.5175845024069796"
"14","0.5962985429061859","0.5962985429061859","0.5962985429061859","0.5666017061807106","0.5666017061807106","0.5666017061807106","0.549294683995199","0.549294683995199","0.549294683995199","0.5747841461998116","0.5747841461998116","0.5747841461998116","0.5355497334899268","0.5355497334899268","0.5355497334899268","0.5431126827820296","0.5431126827820296","0.5431126827820296","0.5427771253049056","0.5427771253049056","0.5427771253049056","0.5598131202973555","0.5598131202973555","0.5598131202973555","0.5517468347895668","0.5517468347895668","0.5517468347895668","0.503968612469832","0.503968612469832","0.503968612469832","0.5382341933069189","0.5382341933069189","0.5382341933069189"
"15","0.60764296684434","0.60764296684434","0.60764296684434","0.5819599137875405","0.5819599137875405","0.5819599137875405","0.5652336641585897","0.5652336641585897","0.5652336641585897","0.587728921182711","0.587728921182711","0.587728921182711","0.5528051314481887","0.5528051314481887","0.5528051314481887","0.5601357717176672","0.5601357717176672","0.5601357717176672","0.5602519262289792","0.5602519262289792","0.5602519262289792","0.575132609733748","0.575132609733748","0.575132609733748","0.5681246208845812","0.5681246208845812","0.5681246208845812","0.523237355290838","0.523237355290838","0.523237355290838","0.5564704515829278","0.5564704515829278","0.5564704515829278"
"16","0.6169095156356879","0.6169095156356879","0.6169095156356879","0.5955887097815005","0.5955887097815005","0.5955887097815005","0.5793270781977983","0.5793270781977983","0.5793270781977983","0.5988539421550534","0.5988539421550534","0.5988539421550534","0.568511802588955","0.568511802588955","0.568511802588955","0.5752616703018727","0.5752616703018727","0.5752616703018727","0.5752745763586852","0.5752745763586852","0.5752745763586852","0.5877934514667733","0.5877934514667733","0.5877934514667733","0.5819986319579779","0.5819986319579779","0.5819986319579779","0.5393699263064156","0.5393699263064156","0.5393699263064156","0.5727062710530052","0.5727062710530052","0.5727062710530052"
"17","0.625685634268162","0.625685634268162","0.625685634268162","0.6066492004697804","0.6066492004697804","0.6066492004697804","0.5919104835899488","0.5919104835899488","0.5919104835899488","0.6088819482983364","0.6088819482983364","0.6088819482983364","0.5811855503787927","0.5811855503787927","0.5811855503787927","0.5882709755688345","0.5882709755688345","0.5882709755688345","0.5889033723526451","0.5889033723526451","0.5889033723526451","0.5991765935753649","0.5991765935753649","0.5991765935753649","0.5948530645431901","0.5948530645431901","0.5948530645431901","0.5545216370042461","0.5545216370042461","0.5545216370042461","0.5863866912742149","0.5863866912742149","0.5863866912742149"
