"Step","bumbling-sweep-11 - Average Weighted Test Accuracy","bumbling-sweep-11 - Average Weighted Test Accuracy__MIN","bumbling-sweep-11 - Average Weighted Test Accuracy__MAX","exalted-sweep-10 - Average Weighted Test Accuracy","exalted-sweep-10 - Average Weighted Test Accuracy__MIN","exalted-sweep-10 - Average Weighted Test Accuracy__MAX","vivid-sweep-9 - Average Weighted Test Accuracy","vivid-sweep-9 - Average Weighted Test Accuracy__MIN","vivid-sweep-9 - Average Weighted Test Accuracy__MAX","crimson-sweep-8 - Average Weighted Test Accuracy","crimson-sweep-8 - Average Weighted Test Accuracy__MIN","crimson-sweep-8 - Average Weighted Test Accuracy__MAX","sparkling-sweep-7 - Average Weighted Test Accuracy","sparkling-sweep-7 - Average Weighted Test Accuracy__MIN","sparkling-sweep-7 - Average Weighted Test Accuracy__MAX","brisk-sweep-6 - Average Weighted Test Accuracy","brisk-sweep-6 - Average Weighted Test Accuracy__MIN","brisk-sweep-6 - Average Weighted Test Accuracy__MAX","lunar-sweep-5 - Average Weighted Test Accuracy","lunar-sweep-5 - Average Weighted Test Accuracy__MIN","lunar-sweep-5 - Average Weighted Test Accuracy__MAX","clean-sweep-4 - Average Weighted Test Accuracy","clean-sweep-4 - Average Weighted Test Accuracy__MIN","clean-sweep-4 - Average Weighted Test Accuracy__MAX","graceful-sweep-2 - Average Weighted Test Accuracy","graceful-sweep-2 - Average Weighted Test Accuracy__MIN","graceful-sweep-2 - Average Weighted Test Accuracy__MAX","fluent-sweep-3 - Average Weighted Test Accuracy","fluent-sweep-3 - Average Weighted Test Accuracy__MIN","fluent-sweep-3 - Average Weighted Test Accuracy__MAX","winter-sweep-1 - Average Weighted Test Accuracy","winter-sweep-1 - Average Weighted Test Accuracy__MIN","winter-sweep-1 - Average Weighted Test Accuracy__MAX"
"0","0.30956174357034794","0.30956174357034794","0.30956174357034794","0.30588833207261723","0.30588833207261723","0.30588833207261723","0.3014348524962179","0.3014348524962179","0.3014348524962179","0.3151475037821483","0.3151475037821483","0.3151475037821483","0.3078337745839637","0.3078337745839637","0.3078337745839637","0.3072640885022693","0.3072640885022693","0.3072640885022693","0.30063114599092283","0.30063114599092283","0.30063114599092283","0.30425964447806353","0.30425964447806353","0.30425964447806353","0.3107791225416036","0.3107791225416036","0.3107791225416036","0.3223926815431165","0.3223926815431165","0.3223926815431165","0.31345499243570346","0.31345499243570346","0.31345499243570346"
"1","0.33675302571860816","0.33675302571860816","0.33675302571860816","0.33795858547655067","0.33795858547655067","0.33795858547655067","0.3344530068078669","0.3344530068078669","0.3344530068078669","0.3415279878971256","0.3415279878971256","0.3415279878971256","0.33922560514372163","0.33922560514372163","0.33922560514372163","0.33717378971255674","0.33717378971255674","0.33717378971255674","0.3351267019667171","0.3351267019667171","0.3351267019667171","0.3340464258698941","0.3340464258698941","0.3340464258698941","0.3412821482602118","0.3412821482602118","0.3412821482602118","0.346482602118003","0.346482602118003","0.346482602118003","0.34412585098335857","0.34412585098335857","0.34412585098335857"
"2","0.35598997730711046","0.35598997730711046","0.35598997730711046","0.3547300491679274","0.3547300491679274","0.3547300491679274","0.35349375945537065","0.35349375945537065","0.35349375945537065","0.35837509455370653","0.35837509455370653","0.35837509455370653","0.35583159984871404","0.35583159984871404","0.35583159984871404","0.3558055975794251","0.3558055975794251","0.3558055975794251","0.35488369894099847","0.35488369894099847","0.35488369894099847","0.3515625","0.3515625","0.3515625","0.35650293116490167","0.35650293116490167","0.35650293116490167","0.3616088313161876","0.3616088313161876","0.3616088313161876","0.35893296142208775","0.35893296142208775","0.35893296142208775"
"3","0.36984918683812407","0.36984918683812407","0.36984918683812407","0.3717520801815431","0.3717520801815431","0.3717520801815431","0.3693835098335855","0.3693835098335855","0.3693835098335855","0.3738819024205749","0.3738819024205749","0.3738819024205749","0.37042596444780634","0.37042596444780634","0.37042596444780634","0.3716102496217852","0.3716102496217852","0.3716102496217852","0.3690856656580938","0.3690856656580938","0.3690856656580938","0.36694402420574884","0.36694402420574884","0.36694402420574884","0.3712698562783661","0.3712698562783661","0.3712698562783661","0.3772361951588502","0.3772361951588502","0.3772361951588502","0.3743475794251135","0.3743475794251135","0.3743475794251135"
"4","0.3841338880484115","0.3841338880484115","0.3841338880484115","0.385043967473525","0.385043967473525","0.385043967473525","0.3832852685325265","0.3832852685325265","0.3832852685325265","0.38571293494704995","0.38571293494704995","0.38571293494704995","0.3831197995461422","0.3831197995461422","0.3831197995461422","0.3849423222390318","0.3849423222390318","0.3849423222390318","0.3824484682299546","0.3824484682299546","0.3824484682299546","0.3805408472012103","0.3805408472012103","0.3805408472012103","0.3818409606656581","0.3818409606656581","0.3818409606656581","0.3886748298033283","0.3886748298033283","0.3886748298033283","0.38651900529500754","0.38651900529500754","0.38651900529500754"
"5","0.3934001512859304","0.3934001512859304","0.3934001512859304","0.3934497919818457","0.3934497919818457","0.3934497919818457","0.39205985249621783","0.39205985249621783","0.39205985249621783","0.3926980900151286","0.3926980900151286","0.3926980900151286","0.3918943835098336","0.3918943835098336","0.3918943835098336","0.39533141074130107","0.39533141074130107","0.39533141074130107","0.3939201966717095","0.3939201966717095","0.3939201966717095","0.38999385400907716","0.38999385400907716","0.38999385400907716","0.39335051059001513","0.39335051059001513","0.39335051059001513","0.3972839447806354","0.3972839447806354","0.3972839447806354","0.3945182488653555","0.3945182488653555","0.3945182488653555"
"6","0.40060514372163386","0.40060514372163386","0.40060514372163386","0.40128120272314677","0.40128120272314677","0.40128120272314677","0.39934521558245084","0.39934521558245084","0.39934521558245084","0.40022456505295007","0.40022456505295007","0.40022456505295007","0.40013710287443266","0.40013710287443266","0.40013710287443266","0.40215109682299544","0.40215109682299544","0.40215109682299544","0.4012788388804841","0.4012788388804841","0.4012788388804841","0.3968159039334342","0.3968159039334342","0.3968159039334342","0.4005673222390318","0.4005673222390318","0.4005673222390318","0.40487660741301057","0.40487660741301057","0.40487660741301057","0.40273732980332827","0.40273732980332827","0.40273732980332827"
"7","0.4069922465960666","0.4069922465960666","0.4069922465960666","0.40752174735249624","0.40752174735249624","0.40752174735249624","0.40612944402420575","0.40612944402420575","0.40612944402420575","0.40628072995461423","0.40628072995461423","0.40628072995461423","0.40696151664145236","0.40696151664145236","0.40696151664145236","0.40781722768532525","0.40781722768532525","0.40781722768532525","0.40743428517397884","0.40743428517397884","0.40743428517397884","0.4045196671709531","0.4045196671709531","0.4045196671709531","0.40516736006051435","0.40516736006051435","0.40516736006051435","0.41032290090771556","0.41032290090771556","0.41032290090771556","0.40911497730711044","0.40911497730711044","0.40911497730711044"
"8","0.4112731656580938","0.4112731656580938","0.4112731656580938","0.41367246596066565","0.41367246596066565","0.41367246596066565","0.41074130105900153","0.41074130105900153","0.41074130105900153","0.41129444024205747","0.41129444024205747","0.41129444024205747","0.41180266641452345","0.41180266641452345","0.41180266641452345","0.41427051815431165","0.41427051815431165","0.41427051815431165","0.4126749243570348","0.4126749243570348","0.4126749243570348","0.4096444780635401","0.4096444780635401","0.4096444780635401","0.4111360627836611","0.4111360627836611","0.4111360627836611","0.4145281770045386","0.4145281770045386","0.4145281770045386","0.41231325642965205","0.41231325642965205","0.41231325642965205"
"9","0.4162892397881997","0.4162892397881997","0.4162892397881997","0.4181803139183056","0.4181803139183056","0.4181803139183056","0.4159252080181543","0.4159252080181543","0.4159252080181543","0.415920480332829","0.415920480332829","0.415920480332829","0.41632469742813916","0.41632469742813916","0.41632469742813916","0.41878545763993946","0.41878545763993946","0.41878545763993946","0.41724186838124055","0.41724186838124055","0.41724186838124055","0.4146227307110439","0.4146227307110439","0.4146227307110439","0.4152373298033283","0.4152373298033283","0.4152373298033283","0.41831741679273826","0.41831741679273826","0.41831741679273826","0.41732223903177007","0.41732223903177007","0.41732223903177007"
"10","0.4193764183055976","0.4193764183055976","0.4193764183055976","0.4220499243570348","0.4220499243570348","0.4220499243570348","0.4194426059001513","0.4194426059001513","0.4194426059001513","0.4197380862329803","0.4197380862329803","0.4197380862329803","0.4202463124054463","0.4202463124054463","0.4202463124054463","0.42198610060514374","0.42198610060514374","0.42198610060514374","0.42160079425113467","0.42160079425113467","0.42160079425113467","0.41883982602118003","0.41883982602118003","0.41883982602118003","0.4199744704992436","0.4199744704992436","0.4199744704992436","0.4233618570347958","0.4233618570347958","0.4233618570347958","0.4213053139183056","0.4213053139183056","0.4213053139183056"
"11","0.4240662821482602","0.4240662821482602","0.4240662821482602","0.4260211800302572","0.4260211800302572","0.4260211800302572","0.4236549735249622","0.4236549735249622","0.4236549735249622","0.42385117246596066","0.42385117246596066","0.42385117246596066","0.4248888993948563","0.4248888993948563","0.4248888993948563","0.42556495839636915","0.42556495839636915","0.42556495839636915","0.4247730711043873","0.4247730711043873","0.4247730711043873","0.4219411875945537","0.4219411875945537","0.4219411875945537","0.4233594931921331","0.4233594931921331","0.4233594931921331","0.42617482980332827","0.42617482980332827","0.42617482980332827","0.4238109871406959","0.4238109871406959","0.4238109871406959"
"12","0.4269123487140696","0.4269123487140696","0.4269123487140696","0.429526758698941","0.429526758698941","0.429526758698941","0.4282479198184569","0.4282479198184569","0.4282479198184569","0.4277869704992436","0.4277869704992436","0.4277869704992436","0.4273520234493192","0.4273520234493192","0.4273520234493192","0.4297915090771558","0.4297915090771558","0.4297915090771558","0.42881996974281394","0.42881996974281394","0.42881996974281394","0.4263733925869894","0.4263733925869894","0.4263733925869894","0.4274749432677761","0.4274749432677761","0.4274749432677761","0.43036828668683813","0.43036828668683813","0.43036828668683813","0.4277846066565809","0.4277846066565809","0.4277846066565809"
"13","0.430285552193646","0.430285552193646","0.430285552193646","0.4326706694402421","0.4326706694402421","0.4326706694402421","0.4315927571860817","0.4315927571860817","0.4315927571860817","0.4312334531013616","0.4312334531013616","0.4312334531013616","0.43042029122541603","0.43042029122541603","0.43042029122541603","0.43278177004538576","0.43278177004538576","0.43278177004538576","0.43152184190620274","0.43152184190620274","0.43152184190620274","0.4287159606656581","0.4287159606656581","0.4287159606656581","0.4304415658093797","0.4304415658093797","0.4304415658093797","0.4340629727685325","0.4340629727685325","0.4340629727685325","0.4315336611195159","0.4315336611195159","0.4315336611195159"
"14","0.4321860816944024","0.4321860816944024","0.4321860816944024","0.43580276096822995","0.43580276096822995","0.43580276096822995","0.43459010968229955","0.43459010968229955","0.43459010968229955","0.4345121028744327","0.4345121028744327","0.4345121028744327","0.4346752080181543","0.4346752080181543","0.4346752080181543","0.43630862329803327","0.43630862329803327","0.43630862329803327","0.43405115355521934","0.43405115355521934","0.43405115355521934","0.43202061270801817","0.43202061270801817","0.43202061270801817","0.4328479576399395","0.4328479576399395","0.4328479576399395","0.4365237329803328","0.4365237329803328","0.4365237329803328","0.4350345121028744","0.4350345121028744","0.4350345121028744"
"15","0.43533944780635403","0.43533944780635403","0.43533944780635403","0.43840771558245084","0.43840771558245084","0.43840771558245084","0.4369303139183056","0.4369303139183056","0.4369303139183056","0.43672702344931924","0.43672702344931924","0.43672702344931924","0.43776711422087744","0.43776711422087744","0.43776711422087744","0.4387528366111952","0.4387528366111952","0.4387528366111952","0.4381642397881997","0.4381642397881997","0.4381642397881997","0.4354954614220877","0.4354954614220877","0.4354954614220877","0.4353229009077156","0.4353229009077156","0.4353229009077156","0.4396416414523449","0.4396416414523449","0.4396416414523449","0.4371714258698941","0.4371714258698941","0.4371714258698941"
"16","0.43914759833585476","0.43914759833585476","0.43914759833585476","0.4403318835098336","0.4403318835098336","0.4403318835098336","0.43947617246596066","0.43947617246596066","0.43947617246596066","0.43919960287443266","0.43919960287443266","0.43919960287443266","0.4403862518910741","0.4403862518910741","0.4403862518910741","0.4415799924357035","0.4415799924357035","0.4415799924357035","0.4395470877458396","0.4395470877458396","0.4395470877458396","0.4381855143721634","0.4381855143721634","0.4381855143721634","0.43859918683812404","0.43859918683812404","0.43859918683812404","0.4416414523449319","0.4416414523449319","0.4416414523449319","0.4395423600605144","0.4395423600605144","0.4395423600605144"
"17","0.4412585098335855","0.4412585098335855","0.4412585098335855","0.44287537821482603","0.44287537821482603","0.44287537821482603","0.44193456883509835","0.44193456883509835","0.44193456883509835","0.44221113842662635","0.44221113842662635","0.44221113842662635","0.4421662254160363","0.4421662254160363","0.4421662254160363","0.44341906202723147","0.44341906202723147","0.44341906202723147","0.44124196293494705","0.44124196293494705","0.44124196293494705","0.43980238275340394","0.43980238275340394","0.43980238275340394","0.4403389750378215","0.4403389750378215","0.4403389750378215","0.44451352118003024","0.44451352118003024","0.44451352118003024","0.44167218229954613","0.44167218229954613","0.44167218229954613"
"18","0.4429368381240545","0.4429368381240545","0.4429368381240545","0.44634549924357036","0.44634549924357036","0.44634549924357036","0.444669534795764","0.444669534795764","0.444669534795764","0.443107034795764","0.443107034795764","0.443107034795764","0.4453621406959153","0.4453621406959153","0.4453621406959153","0.445499243570348","0.445499243570348","0.445499243570348","0.44352779878971255","0.44352779878971255","0.44352779878971255","0.44107413010590013","0.44107413010590013","0.44107413010590013","0.4423553328290469","0.4423553328290469","0.4423553328290469","0.44654169818456885","0.44654169818456885","0.44654169818456885","0.4436909039334342","0.4436909039334342","0.4436909039334342"
"19","0.4456930786686838","0.4456930786686838","0.4456930786686838","0.44794345688350984","0.44794345688350984","0.44794345688350984","0.44724375945537065","0.44724375945537065","0.44724375945537065","0.4455370650529501","0.4455370650529501","0.4455370650529501","0.4458821860816944","0.4458821860816944","0.4458821860816944","0.4484304084720121","0.4484304084720121","0.4484304084720121","0.44681354009077157","0.44681354009077157","0.44681354009077157","0.4448444591527988","0.4448444591527988","0.4448444591527988","0.4446198940998487","0.4446198940998487","0.4446198940998487","0.44846350226928894","0.44846350226928894","0.44846350226928894","0.44635731845688353","0.44635731845688353","0.44635731845688353"
"20","0.4477590771558245","0.4477590771558245","0.4477590771558245","0.4493593986384266","0.4493593986384266","0.4493593986384266","0.44887244704992435","0.44887244704992435","0.44887244704992435","0.4479198184568835","0.4479198184568835","0.4479198184568835","0.4487022503782148","0.4487022503782148","0.4487022503782148","0.4501441944024206","0.4501441944024206","0.4501441944024206","0.4486124243570348","0.4486124243570348","0.4486124243570348","0.4459318267776097","0.4459318267776097","0.4459318267776097","0.44658897503782147","0.44658897503782147","0.44658897503782147","0.44984635022692887","0.44984635022692887","0.44984635022692887","0.44747777987897125","0.44747777987897125","0.44747777987897125"
"21","0.449633604387292","0.449633604387292","0.449633604387292","0.4508840771558245","0.4508840771558245","0.4508840771558245","0.4501820158850227","0.4501820158850227","0.4501820158850227","0.4500874621785174","0.4500874621785174","0.4500874621785174","0.45078243192133133","0.45078243192133133","0.45078243192133133","0.452276380484115","0.452276380484115","0.452276380484115","0.45063114599092285","0.45063114599092285","0.45063114599092285","0.4489031770045386","0.4489031770045386","0.4489031770045386","0.44840440620272315","0.44840440620272315","0.44840440620272315","0.45139230332829045","0.45139230332829045","0.45139230332829045","0.4498250756429652","0.4498250756429652","0.4498250756429652"
"22","0.4514986762481089","0.4514986762481089","0.4514986762481089","0.45310136157337366","0.45310136157337366","0.45310136157337366","0.4523425680786687","0.4523425680786687","0.4523425680786687","0.4518177950075643","0.4518177950075643","0.4518177950075643","0.4532124621785174","0.4532124621785174","0.4532124621785174","0.45339920574886533","0.45339920574886533","0.45339920574886533","0.4524702155824508","0.4524702155824508","0.4524702155824508","0.4496950642965204","0.4496950642965204","0.4496950642965204","0.45110627836611195","0.45110627836611195","0.45110627836611195","0.452571860816944","0.452571860816944","0.452571860816944","0.45160977685325265","0.45160977685325265","0.45160977685325265"
"23","0.45287443267776095","0.45287443267776095","0.45287443267776095","0.45513663010590016","0.45513663010590016","0.45513663010590016","0.45431401285930406","0.45431401285930406","0.45431401285930406","0.4535434001512859","0.4535434001512859","0.4535434001512859","0.45421709531013615","0.45421709531013615","0.45421709531013615","0.4560065242057489","0.4560065242057489","0.4560065242057489","0.4538317889561271","0.4538317889561271","0.4538317889561271","0.4520636346444781","0.4520636346444781","0.4520636346444781","0.45234020423600607","0.45234020423600607","0.45234020423600607","0.45510590015128594","0.45510590015128594","0.45510590015128594","0.4539003403933434","0.4539003403933434","0.4539003403933434"
"24","0.4551744515885023","0.4551744515885023","0.4551744515885023","0.4569000567322239","0.4569000567322239","0.4569000567322239","0.4558623298033283","0.4558623298033283","0.4558623298033283","0.45485769667170955","0.45485769667170955","0.45485769667170955","0.45650056732223904","0.45650056732223904","0.45650056732223904","0.45681732223903176","0.45681732223903176","0.45681732223903176","0.45690951210287445","0.45690951210287445","0.45690951210287445","0.4537301437216339","0.4537301437216339","0.4537301437216339","0.4545574886535552","0.4545574886535552","0.4545574886535552","0.45737518910741304","0.45737518910741304","0.45737518910741304","0.4559048789712557","0.4559048789712557","0.4559048789712557"
"25","0.45632091527987895","0.45632091527987895","0.45632091527987895","0.45737046142208776","0.45737046142208776","0.45737046142208776","0.4579708774583964","0.4579708774583964","0.4579708774583964","0.45653129727685327","0.45653129727685327","0.45653129727685327","0.4575477496217852","0.4575477496217852","0.4575477496217852","0.4591220688350983","0.4591220688350983","0.4591220688350983","0.45802524583963694","0.45802524583963694","0.45802524583963694","0.45598997730711044","0.45598997730711044","0.45598997730711044","0.4554935703479576","0.4554935703479576","0.4554935703479576","0.4588454992435703","0.4588454992435703","0.4588454992435703","0.4571553517397882","0.4571553517397882","0.4571553517397882"
"26","0.4574933812405446","0.4574933812405446","0.4574933812405446","0.4593915468986384","0.4593915468986384","0.4593915468986384","0.4592071671709531","0.4592071671709531","0.4592071671709531","0.4580607034795764","0.4580607034795764","0.4580607034795764","0.4594553706505295","0.4594553706505295","0.4594553706505295","0.4607011157337368","0.4607011157337368","0.4607011157337368","0.4592355332829047","0.4592355332829047","0.4592355332829047","0.4568953290468986","0.4568953290468986","0.4568953290468986","0.4576423033282905","0.4576423033282905","0.4576423033282905","0.46039854387291984","0.46039854387291984","0.46039854387291984","0.458937689107413","0.458937689107413","0.458937689107413"
"27","0.4597792170953101","0.4597792170953101","0.4597792170953101","0.4609729576399395","0.4609729576399395","0.4609729576399395","0.461258982602118","0.461258982602118","0.461258982602118","0.4595948373676248","0.4595948373676248","0.4595948373676248","0.46063256429652044","0.46063256429652044","0.46063256429652044","0.4621477874432678","0.4621477874432678","0.4621477874432678","0.46097059379727684","0.46097059379727684","0.46097059379727684","0.4585500189107413","0.4585500189107413","0.4585500189107413","0.45845782904689864","0.45845782904689864","0.45845782904689864","0.46198468229954615","0.46198468229954615","0.46198468229954615","0.46006524205748867","0.46006524205748867","0.46006524205748867"
"28","0.46095641074130106","0.46095641074130106","0.46095641074130106","0.4626016452344932","0.4626016452344932","0.4626016452344932","0.4623345310136157","0.4623345310136157","0.4623345310136157","0.46119279500756427","0.46119279500756427","0.46119279500756427","0.46183103252647506","0.46183103252647506","0.46183103252647506","0.4636535552193646","0.4636535552193646","0.4636535552193646","0.4618263048411498","0.4618263048411498","0.4618263048411498","0.45993286686838125","0.45993286686838125","0.45993286686838125","0.4608334909228442","0.4608334909228442","0.4608334909228442","0.4635022692889561","0.4635022692889561","0.4635022692889561","0.4617837556732224","0.4617837556732224","0.4617837556732224"
"29","0.46199177382753404","0.46199177382753404","0.46199177382753404","0.4644052571860817","0.4644052571860817","0.4644052571860817","0.4642516074130106","0.4642516074130106","0.4642516074130106","0.4622730711043873","0.4622730711043873","0.4622730711043873","0.4631240544629349","0.4631240544629349","0.4631240544629349","0.4647432866868381","0.4647432866868381","0.4647432866868381","0.4636535552193646","0.4636535552193646","0.4636535552193646","0.4616608358547655","0.4616608358547655","0.4616608358547655","0.46239362708018156","0.46239362708018156","0.46239362708018156","0.46455654311649014","0.46455654311649014","0.46455654311649014","0.46350936081694405","0.46350936081694405","0.46350936081694405"
